bb	10	weierstrass	0.3311999095
bba	10	weierstrass	0.6097628308
gbest	10	zakharov	0.6276352158
lbest	10	zakharov	0.5328691679
vn	10	zakharov	0.6982801652
gbestgc	10	zakharov	0.5174366214
lbestgc	10	zakharov	0.7323146306
vngc	10	zakharov	0.7667280825
spso	10	zakharov	-0.7351410149
bb	10	zakharov	-0.0653752207
bba	10	zakharov	-0.3339086182
